系统名称,交换机型号,IP地址,提取时间,是否刷入802.1x,ip route-static
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.35,2025-12-04 17:38:00,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.197,2025-12-04 17:48:53,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.146,2025-12-04 17:46:08,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.141,2025-12-04 17:45:50,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-28X-PWR-LI,S5720-28X-PWR-LI,10.3.1.107,2025-12-04 17:43:43,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-28X-PWR-LI,S5720-28X-PWR-LI,10.3.1.142,2025-12-04 17:46:05,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.196,2025-12-04 17:48:52,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.106,2025-12-04 17:43:32,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.127,2025-12-04 17:45:03,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.126,2025-12-04 17:44:56,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.125,2025-12-04 17:44:50,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.121,2025-12-04 17:44:33,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.122,2025-12-04 17:44:40,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.123,2025-12-04 17:44:41,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.124,2025-12-04 17:44:47,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
